P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,300.0,100,4.5,40,1.9787762772874424,1.9787762772874433,8.881784197001252e-16,0.0,6.0
50.0,300.0,100,4.5,45,1.865608165494697,1.8656081654946977,6.661338147750939e-16,0.0,6.0
50.0,300.0,100,4.5,50,1.7698713073114778,1.7698713073114785,6.661338147750939e-16,0.0,6.0
50.0,300.0,100,5.0,36,2.0858133387124127,2.0858133387124083,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,100,5.0,40,1.9787762772874453,1.9787762772874407,-4.6629367034256575e-15,-0.0,6.0
50.0,300.0,100,5.0,45,1.8656081654946997,1.8656081654946952,-4.440892098500626e-15,-0.0,6.0
50.0,300.0,100,5.0,50,1.7698713073114802,1.7698713073114762,-3.9968028886505635e-15,-0.0,6.0
50.0,400.0,0,3.0,36,2.231093404090868,2.2310934040908674,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.0,40,2.116601048851672,2.1166010488516718,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.0,45,1.9955506062794353,1.9955506062794348,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.0,50,1.893145530591877,1.8931455305918765,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.5,36,2.231093404090867,2.2310934040908665,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.5,40,2.1166010488516713,2.116601048851671,-4.440892098500626e-16,-0.0,8.0
50.0,400.0,0,3.5,45,1.9955506062794344,1.9955506062794341,-2.220446049250313e-16,-0.0,8.0
50.0,400.0,0,3.5,50,1.893145530591876,1.893145530591876,0.0,0.0,8.0
50.0,400.0,0,4.0,36,2.231093404090868,2.231093404090866,-1.7763568394002505e-15,-0.0,8.0
50.0,400.0,0,4.0,40,2.116601048851672,2.1166010488516704,-1.7763568394002505e-15,-0.0,8.0
50.0,400.0,0,4.0,45,1.9955506062794353,1.9955506062794335,-1.7763568394002505e-15,-0.0,8.0
50.0,400.0,0,4.0,50,1.893145530591877,1.8931455305918752,-1.7763568394002505e-15,-0.0,8.0
50.0,400.0,0,4.5,36,2.2310934040908683,2.23109340409087,1.7763568394002505e-15,0.0,8.0
50.0,400.0,0,4.5,40,2.1166010488516727,2.1166010488516744,1.7763568394002505e-15,0.0,8.0
50.0,400.0,0,4.5,45,1.9955506062794357,1.995550606279437,1.3322676295501878e-15,0.0,8.0
50.0,400.0,0,4.5,50,1.8931455305918772,1.8931455305918787,1.5543122344752192e-15,0.0,8.0
50.0,400.0,0,5.0,36,2.2310934040908634,2.2310934040908688,5.329070518200751e-15,0.0,8.0
